"Year","Quarter","Cohort","date"
"2011","Q2",38.49,"2011-05-15"
"2011","Q2",41.99,"2011-05-15"
"2011","Q2",45.27,"2011-05-15"
"2011","Q2",48.33,"2011-05-15"
"2011","Q2",51.19,"2011-05-15"
"2011","Q2",53.86,"2011-05-15"
"2011","Q2",56.36,"2011-05-15"
"2011","Q2",58.7,"2011-05-15"
"2011","Q2",60.88,"2011-05-15"
"2011","Q2",62.92,"2011-05-15"
"2011","Q2",64.83,"2011-05-15"
"2011","Q3",41.99,"2011-08-15"
"2011","Q3",45.27,"2011-08-15"
"2011","Q3",48.33,"2011-08-15"
"2011","Q3",51.19,"2011-08-15"
"2011","Q3",53.86,"2011-08-15"
"2011","Q3",56.36,"2011-08-15"
"2011","Q3",58.7,"2011-08-15"
"2012","Q1",30.72,"2012-02-14"
"2012","Q1",34.73,"2012-02-14"
"2012","Q1",38.49,"2012-02-14"
"2012","Q1",41.99,"2012-02-14"
"2012","Q1",45.27,"2012-02-14"
"2012","Q1",48.33,"2012-02-14"
"2012","Q1",51.19,"2012-02-14"
"2012","Q1",53.86,"2012-02-14"
"2012","Q1",56.36,"2012-02-14"
"2012","Q1",58.7,"2012-02-14"
"2012","Q1",60.88,"2012-02-14"
"2013","Q2",30.72,"2013-05-15"
"2013","Q2",34.73,"2013-05-15"
"2013","Q2",38.49,"2013-05-15"
"2013","Q2",41.99,"2013-05-15"
"2013","Q2",45.27,"2013-05-15"
"2013","Q2",48.33,"2013-05-15"
"2013","Q2",51.19,"2013-05-15"
"2013","Q2",53.86,"2013-05-15"
"2013","Q2",56.36,"2013-05-15"
"2013","Q2",58.7,"2013-05-15"
"2013","Q2",60.88,"2013-05-15"
"2017","Q3",30.72,"2017-08-15"
"2017","Q3",34.73,"2017-08-15"
"2017","Q3",38.49,"2017-08-15"
"2017","Q3",41.99,"2017-08-15"
"2017","Q3",45.27,"2017-08-15"
"2017","Q4",38.49,"2017-11-15"
"2017","Q4",41.99,"2017-11-15"
"2017","Q4",45.27,"2017-11-15"
